1568061681.000000, 1568061681.000000, 1568061681.000000
32.000000, 32.000000, 32.000000
-5,-26,57
-7,-26,57
-7,-26,56
-8,-27,56
-4,-27,57
-7,-26,56
-7,-27,56
-8,-27,56
-6,-27,57
-7,-26,56
-8,-26,56
-7,-26,57
-7,-26,57
-7,-26,57
-7,-26,56
-6,-27,56
-6,-26,58
-6,-26,57
-7,-26,56
-7,-27,56
-7,-27,57
-6,-26,57
-7,-26,56
-7,-26,56
-7,-26,56
-7,-26,57
-6,-26,57
-6,-26,57
-7,-26,57
-8,-27,56
-7,-26,56
-7,-26,56
-7,-26,56
-7,-26,57
-7,-26,57
-7,-26,57
-7,-26,56
-7,-26,57
-7,-26,57
-8,-26,57
-7,-26,56
-7,-26,56
-8,-26,56
-7,-26,57
-7,-26,58
-7,-25,57
-8,-26,56
-7,-26,57
-7,-26,57
-7,-26,56
-7,-26,57
-7,-26,56
-7,-26,57
-7,-26,57
-8,-26,56
-8,-26,57
-8,-26,56
-8,-26,56
-7,-26,57
-6,-26,58
-8,-26,57
-7,-26,58
-7,-26,58
-9,-29,59
-4,-28,61
-1,-31,65
0,-25,73
7,-24,68
0,-22,60
-4,-19,66
0,-22,68
10,-22,66
11,-25,56
11,-26,46
-2,-26,19
-12,-40,6
-11,-32,12
-21,-25,9
-47,-4,22
-51,12,40
-78,21,40
-59,23,36
-30,27,68
-24,23,71
-27,41,65
-6,19,71
-40,2,90
-95,-21,41
-84,-39,49
-85,-11,69
-35,-2,67
-41,-1,64
-65,8,53
-40,12,60
-39,13,56
-53,17,51
-54,11,44
-53,7,45
-48,9,45
-40,6,40
-33,8,40
-35,8,34
-39,9,30
-37,8,32
-34,1,31
-29,0,41
-29,-4,45
-31,-6,46
-11,-10,62
13,-9,79
-5,-14,66
-10,-10,65
-10,-9,65
6,-8,66
10,-5,70
3,-7,60
-7,-5,61
-13,-4,57
-18,-10,56
-28,-11,47
-33,-10,42
-51,-8,34
-52,-8,33
-43,-14,33
-38,-13,38
-46,-18,31
-44,-20,30
-44,-18,33
-44,-12,38
-45,-11,39
-46,-4,45
-44,0,49
-44,-1,51
-46,-9,50
-49,-14,50
-47,-16,48
-48,-29,43
-44,-28,42
-44,-27,38
-41,-26,37
-42,-22,34
-43,-20,33
-46,-18,26
-47,-13,25
-50,-13,26
-40,-16,32
-43,-24,32
-41,-29,29
-34,-22,57
-68,-20,61
-66,-16,61
-38,-14,62
-41,-10,59
-36,-23,62
-33,-18,53
-38,-9,43
-31,-9,40
-29,-13,43
-36,-15,44
-20,-5,50
-32,-15,48
-34,-17,64
-25,-18,73
-17,-35,61
-24,-42,45
-8,-44,43
13,-32,77
7,-11,93
-9,-6,73
-13,-7,51
-16,-6,52
-11,-7,62
-8,-11,64
-4,-13,63
0,-10,63
-6,-9,62
-7,-8,62
7,-7,66
-7,-5,63
-9,-7,63
1,-3,66
-2,0,57
-15,-3,50
-11,-6,56
5,-11,68
1,-11,63
-4,-18,60
3,-23,60
7,-21,61
9,-23,65
-8,-17,59
-5,-14,59
1,-16,56
-6,-19,58
-16,-21,57
-8,-21,63
1,-19,63
-5,-18,61
-14,-15,58
-20,-16,56
-21,-16,57
-15,-16,59
-13,-15,61
-16,-14,61
-16,-13,60
-12,-12,59
-10,-12,58
-9,-14,60
-3,-16,62
-3,-17,62
-1,-18,62
0,-18,62
-8,-21,62
-15,-20,61
0,-17,59
-4,-14,56
-9,-13,57
-5,-13,62
2,-13,67
-6,-13,59
-7,-12,58
-2,-13,58
4,-11,63
4,-11,65
-3,-12,63
-10,-14,61
-13,-15,60
-14,-18,57
-13,-16,62
-14,-14,60
-11,-12,56
2,-13,63
0,-19,62
